Date,Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
02-05-2010,16090931.159999998,31.68,2.832,39714.518125,3613.0237500000003,447.19875,41858.300625,5254.591875,145.48160550000003,8.5995,0
02-12-2010,14904615.88,30.0975,2.8047500000000003,44883.286250000005,4248.79375,259.891875,31473.1875,6998.37375,145.5551714875,8.5995,1
02-19-2010,15346082.87,34.89125,2.79075,20525.896249999998,9720.108125,139.02625,11523.91375,8261.430625,145.59818965,8.5995,0
02-26-2010,13667066.77,36.45375,2.79,13078.249375,8345.479374999999,60.544285714285714,4203.658125,6906.00125,145.636116525,8.5995,0
03-05-2010,14476848.09,39.5825,2.8153749999999995,18132.357500000002,1692.6193750000002,44.39,8772.9925,3342.58375,145.6740434125,8.599499999999999,0
03-12-2010,14545709.54,44.56875,2.865125,19170.775,561.645,49.170625,7867.885,4664.753124999999,145.7119702875,8.5995,0
03-19-2010,13998246.650000002,49.265,2.8933750000000003,9840.945,153.724375,9.903839285714287,3586.09,2275.3824999999997,145.69911905,8.599499999999999,0
03-26-2010,14005356.81,48.321250000000006,2.8935,8347.215,294.755,753.2343750000001,1759.8943750000003,3008.0,145.67780474999998,8.5995,0
04-02-2010,16336651.46,48.83749999999999,2.9048749999999997,9238.031875,198.32875000000004,412.29258928571426,1195.645,4201.018749999999,145.656490475,8.342,0
04-09-2010,14849428.04,58.66375,2.921,12794.145,4487.285625,307.173125,3533.1775,5084.564375,145.63517620000002,8.342,0
04-16-2010,14191117.12,55.22124999999999,2.9577500000000003,7271.295624999999,6756.553125,72.42,2612.020625,2988.479375,145.61232193749998,8.341999999999999,0
04-23-2010,14129653.64,54.36500000000001,2.9572500000000006,8868.989375000001,2669.35875,94.444375,930.4656249999999,2928.074375,145.58741437499998,8.342,0
04-30-2010,13866027.37,54.24375,2.975125,3796.08375,93.23937499999998,108.863125,163.200625,3402.5825,145.5625068,8.342,0
05-07-2010,15350239.299999999,63.49375,3.016,16045.001875,210.03619047619048,128.236875,6389.16625,3395.005625,145.537599225,8.342,0
05-14-2010,14363478.46,56.02624999999999,3.0315000000000003,9540.634999999998,131.18416666666667,100.09062500000002,2740.8625,5893.0875,145.52687098750002,8.342,0
05-21-2010,14104742.379999999,63.463750000000005,3.01175,9702.153125,420.143125,48.63374999999999,1928.2337499999999,4602.804375,145.6012187625,8.342,0
05-28-2010,15017867.279999997,68.00875,2.95725,7620.683125,346.9375,684.90875,2215.015,4099.463750000001,145.675566525,8.342,0
06-04-2010,15583407.89,72.13875,2.903125,6593.961875000001,209.7983928571429,353.46,1458.784375,3161.32,145.7499143,8.342,0
